NumberOfSections,EntryPoint,ImageBase,FileAlignment,SizeOfImage,DllCharacteristics,SectionsMeanEntropy,Hazard,filename
8,446964,4194304,512,1912832,0,3.448029648726123,1.0,d792d91d07ce5241a3918c5060fc8fcc59efe72e806ac20e6ba27ec6d9c37f99
4,5049,4194304,512,114688,33024,5.404507146930868,1.0,5c0e7e0eaf646ac019130e4faf545ddf528008afc55917e5f34587ba4d0934aa
5,66934,4194304,512,311296,33088,5.8181792322740575,1.0,fdea1d2ac91aeb32dd0fd30a6516ce9df2be96bd6b1cfdad1bc9205160a55440
4,4400,268435456,512,20480,1344,2.091824076014067,1.0,5e9a225092478d3f2b89a269405e037fcda8fff901442f4d1555012652c6aa44
4,5049,4194304,512,114688,33024,5.404529925502063,1.0,3cfac63b3fe9bfb358097541453facb33be788e142f10f7ee04f30f68e2a2c61
4,80350,4194304,512,663552,32768,2.815455215713806,1.0,ee0a679844146e3d0eb623dc874b4d5ff151dddf16582774299ff65bcfff5b44
4,4116,4194304,512,151552,33024,4.856102866911837,1.0,5bb633fef2f50ca5ec2302ea37800f68c76596ef770c394e706f57a5d655feac
4,4116,4194304,512,151552,33024,4.855966296114376,1.0,101512df3ce4c79c8f763e779e8d0cf1bfe31089b7107eb384280c3f6adc40b7
4,4116,4194304,512,151552,33024,4.852482884779497,1.0,5b3ed204bf794afc4d32c750e74a219c4730b2a96ded36c6ea2753581158ab11
4,4116,4194304,512,151552,33024,4.836396071881309,1.0,1c8743843e7dcdc405dcfdc5745a05d66f8807740d0d7e3cd169172b9559c0d8
4,4096,268435456,4096,577536,0,3.9254586041464012,1.0,a6924ca4ee6ec700153175fdcf0c376da4c950719ab4b92ccaff048aec7989a1
4,5049,4194304,512,114688,33024,5.404507146930868,1.0,7fd4b886c5be5e98a4626aa905a5f5110ec1b64d4d1e759016378ffeb25b17dc
6,7936,268435456,512,28672,0,2.6024476103045178,1.0,e9b84f16d2691f509e36749d668187d68ed0247816ce538edb6c28c1a89a9f26
4,80350,4194304,512,663552,32768,2.8191381858752815,1.0,4a0a54509ede21a67638b825445dc467fa13923db5c7966dd140c81f84879095
4,4400,268435456,512,20480,1344,2.053933007508243,1.0,97dc18bb79043720cab83e9dbe61fc5178666ecc2b7d12c77f3d1498d5faec20
4,4116,4194304,512,151552,33024,4.853517341143994,1.0,3f7bb036eef312a9c1fca60105f1b87235dc8b14d617e415f95a7043f9efe917
9.0,337133.0,4194304.0,512.0,569344.0,0.0,1.3786808984104384,1.0,402d6ff2b5df5d2111d5800476e01a1f1a392806e11d11992a8e14227f9b91da
3.0,4492.0,4194304.0,4096.0,90112.0,0.0,3.1452241977304514,1.0,cbfdb72d49ccb58a3b41a142d2b4296e401a9cc62b639ea3c84359e7890f9e58
3.0,5040.0,4194304.0,4096.0,188416.0,0.0,3.1923269571240236,1.0,e645769db3c2c320413a3337143366f1edb7249fe1e8daa895fc2777e3f2f47e
5.0,5577.0,4194304.0,512.0,860160.0,33024.0,4.106303566019771,1.0,56abfd9fd8d84398a8762669d7a37cd810954c768e0e0dda9c2ad7b117a5888e
5.0,5577.0,4194304.0,512.0,860160.0,33024.0,4.105814987503681,1.0,e6d35a6480a59114bf478338876b52338bc74a9b9a61e00cab6479492ba60216
6.0,96784.0,6442450944.0,512.0,417792.0,16736.0,4.263471601825782,0.0,e6d35a6480a59114bf478338876b52338bc74a9b9a61e00cab6479492ba60216.dll
6.0,19872.0,5368709120.0,512.0,176128.0,49632.0,4.3162819055736925,0.0,ecmd.exe
6.0,4313004.0,5368709120.0,512.0,8536064.0,33120.0,5.860361142661226,0.0,notepad++.exe
